File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/858.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_13-1
Injection Number	24
Position	124
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	8:48:55 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000597
Time Max. (min)	22.995542
Data Points	5880
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	6,269,272.614409
Signal Max.	1,996,308,618.947670
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406476

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000597	n.a.	20,487,955.734177
3.003998	0.2041	20,720,508.896408
3.007398	0.204	20,906,058.302741
3.010800	0.2041	20,666,520.485086
3.014202	0.2041	20,458,073.138619
3.017602	0.204	20,486,027.725699
3.021003	0.2041	20,506,299.451987
3.024405	0.2041	20,161,330.296729
3.027805	0.204	19,803,805.000247
3.031207	0.2041	19,710,882.648689
3.034608	0.2041	19,497,794.698083
3.038008	0.204	19,226,364.799497
3.041410	0.2041	18,820,349.474164
3.044812	0.2041	18,154,486.166345
3.048212	0.204	17,734,539.060058
3.051613	0.2041	17,968,750.857384
3.055015	0.2041	17,931,833.396373
3.058415	0.204	17,405,991.951630
3.061817	0.2041	17,280,266.307051
3.065217	0.204	17,064,838.458029
3.068618	0.2041	16,818,231.907344
3.072020	0.2041	16,697,984.074977
3.075420	0.204	16,422,737.974635
3.078822	0.2041	16,038,415.245678
3.082223	0.2041	15,901,984.172541
3.085623	0.204	15,786,659.271904
3.089025	0.2041	15,403,900.158810
3.092427	0.2041	15,066,163.756216
3.095827	0.204	14,501,511.684356
3.099228	0.2041	14,150,265.854106
3.102630	0.2041	14,146,425.585486
3.106030	0.204	13,866,716.162052
3.109432	0.2041	13,491,993.011370
3.112833	0.2041	13,364,313.855822
3.116233	0.204	13,286,794.733744
3.119635	0.2041	13,188,613.211982
3.123035	0.204	13,103,963.452065
3.126437	0.2041	13,045,260.436173
3.129838	0.2041	12,961,432.177821
3.133238	0.204	12,826,501.386654
3.136640	0.2041	12,769,514.983470
3.140042	0.2041	12,492,989.249390
3.143442	0.204	12,174,858.191933
3.146843	0.2041	12,018,051.129976
3.150245	0.2041	11,996,453.120078
3.153645	0.204	12,043,192.453499
3.157047	0.2041	11,823,784.683461
3.160448	0.2041	11,832,222.429371
3.163848	0.204	12,006,681.060859
3.167250	0.2041	11,787,621.637910
3.170652	0.2041	11,637,355.017049
3.174052	0.204	11,686,725.823577
3.177453	0.2041	11,746,914.396995
3.180853	0.204	11,569,472.082870
3.184255	0.2041	11,324,280.588938
3.187657	0.2041	11,438,509.967006
3.191057	0.204	11,418,547.194878
3.194458	0.2041	11,197,683.749804
3.197860	0.2041	11,005,738.257192
3.201260	0.204	10,827,829.598720
3.204662	0.2041	10,545,146.599248
3.208063	0.2041	10,398,535.119651
3.211463	0.204	10,541,581.173359
3.214865	0.2041	10,532,422.849315
3.218267	0.2041	10,440,709.647437
3.221667	0.204	10,357,864.680823
3.225068	0.2041	10,263,165.657404
3.228470	0.2041	10,190,085.009272
3.231870	0.204	10,163,454.024787
3.235272	0.2041	10,251,124.933342
3.238673	0.2041	10,267,100.940656
3.242073	0.204	10,240,674.407760
3.245475	0.2041	10,277,796.523311
3.248875	0.204	10,164,694.164305
3.252277	0.2041	10,011,662.251972
3.255678	0.2041	9,995,240.272838
3.259078	0.204	9,903,810.890625
3.262480	0.2041	9,794,913.046532
3.265882	0.2041	9,869,351.541253
3.269282	0.204	9,788,877.467726
3.272683	0.2041	9,652,775.474964
3.276085	0.2041	9,634,146.199184
3.279485	0.204	9,458,614.474084
3.282887	0.2041	9,250,562.093349
3.286288	0.2041	9,304,350.773401
3.289688	0.204	9,309,177.200812
3.293090	0.2041	9,015,762.478232
3.296490	0.204	8,953,459.563430
3.299892	0.2041	8,958,753.271919
3.303293	0.2041	8,918,648.666668
3.306693	0.204	8,840,169.082742
3.310095	0.2041	8,779,284.049549
3.313497	0.2041	8,908,200.432274
3.316897	0.204	8,858,402.792829
3.320298	0.2041	8,861,205.053703
3.323700	0.2041	8,877,150.965195
3.327100	0.204	8,593,781.412154
3.330502	0.2041	8,350,776.765237
3.333903	0.2041	8,457,194.863008
3.337303	0.204	8,524,693.253192
3.340705	0.2041	8,319,368.784161
3.344107	0.2041	8,309,037.118619
3.347507	0.204	8,273,636.395475
3.350908	0.2041	8,004,563.536231
3.354310	0.2041	8,105,497.900351
3.357710	0.204	8,370,936.084088
3.361112	0.2041	8,234,170.535867
3.364512	0.204	8,015,725.999508
3.367913	0.2041	7,956,574.131989
3.371315	0.2041	7,937,477.059548
3.374715	0.204	7,869,747.950956
3.378117	0.2041	7,729,377.787663
3.381518	0.2041	7,787,384.948051
3.384918	0.204	7,774,571.345704
3.388320	0.2041	7,570,918.698683
3.391722	0.2041	7,686,889.292937
3.395122	0.204	7,651,169.077607
3.398523	0.2041	7,323,845.286430
3.401925	0.2041	7,335,459.823285
3.405325	0.204	7,441,333.453405
3.408727	0.2041	7,397,906.445565
3.412128	0.2041	7,368,706.938167
3.415528	0.204	7,297,301.535576
3.418930	0.2041	7,263,893.059157
3.422330	0.204	7,182,440.540672
3.425732	0.2041	6,955,983.657039
3.429133	0.2041	7,061,244.950841
3.432533	0.204	7,263,920.001285
3.435935	0.2041	7,103,295.322205
3.439337	0.2041	7,024,558.198267
3.442737	0.204	7,080,356.361969
3.446138	0.2041	7,149,591.009550
3.449540	0.2041	7,167,751.931907
3.452940	0.204	7,031,159.778160
3.456342	0.2041	7,026,896.639489
3.459743	0.2041	7,149,571.082336
