File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/287.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_10-1
Injection Number	21
Position	121
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	7:22:00 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002928
Time Max. (min)	22.994473
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	6,151,483.548454
Signal Max.	3,332,715,064.609110
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406477

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.002928	n.a.	17,770,170.003532
3.006330	0.2041	17,606,241.304977
3.009730	0.204	17,496,136.038426
3.013132	0.2041	17,317,069.432220
3.016533	0.2041	17,138,396.190012
3.019933	0.204	17,082,172.542030
3.023335	0.2041	17,030,084.844302
3.026737	0.2041	17,014,918.425480
3.030137	0.204	16,523,385.284948
3.033538	0.2041	16,404,011.908231
3.036940	0.2041	16,468,533.262452
3.040340	0.204	15,998,169.264131
3.043742	0.2041	15,859,068.024350
3.047143	0.2041	15,804,390.572448
3.050543	0.204	15,594,116.293338
3.053945	0.2041	15,505,749.023903
3.057347	0.2041	15,458,461.882536
3.060747	0.204	15,353,156.973595
3.064148	0.2041	15,320,545.805707
3.067548	0.204	15,121,290.950600
3.070950	0.2041	14,653,575.570747
3.074352	0.2041	14,540,900.953353
3.077752	0.204	14,551,074.874070
3.081153	0.2041	14,188,049.369513
3.084555	0.2041	13,962,586.581308
3.087955	0.204	13,696,224.729640
3.091357	0.2041	13,346,389.322255
3.094758	0.2041	13,242,560.439873
3.098158	0.204	13,085,221.740487
3.101560	0.2041	12,776,625.172710
3.104962	0.2041	12,311,450.483835
3.108362	0.204	12,275,214.129991
3.111763	0.2041	12,439,670.039825
3.115165	0.2041	12,088,583.903030
3.118565	0.204	12,027,261.039932
3.121967	0.2041	12,048,339.736481
3.125367	0.204	11,867,629.855340
3.128768	0.2041	11,953,294.369508
3.132170	0.2041	11,752,131.595740
3.135570	0.204	11,502,766.695078
3.138972	0.2041	11,415,027.068062
3.142373	0.2041	11,307,669.907600
3.145773	0.204	11,362,153.422944
3.149175	0.2041	11,435,474.301789
3.152577	0.2041	11,288,056.003275
3.155977	0.204	11,028,921.317841
3.159378	0.2041	10,917,258.905438
3.162780	0.2041	10,935,396.375083
3.166180	0.204	10,987,831.976619
3.169582	0.2041	10,891,235.035157
3.172983	0.2041	10,797,204.809960
3.176383	0.204	10,812,075.768221
3.179785	0.2041	10,785,548.923247
3.183185	0.204	10,700,826.729556
3.186587	0.2041	10,613,641.342859
3.189988	0.2041	10,438,157.838791
3.193388	0.204	10,473,105.927161
3.196790	0.2041	10,494,662.126050
3.200192	0.2041	10,180,170.820369
3.203592	0.204	10,162,724.655150
3.206993	0.2041	10,212,684.575599
3.210395	0.2041	10,179,580.821341
3.213795	0.204	10,059,373.581245
3.217197	0.2041	9,853,531.422718
3.220598	0.2041	9,855,917.493205
3.223998	0.204	9,857,279.272955
3.227400	0.2041	9,848,144.009872
3.230802	0.2041	9,659,365.808991
3.234202	0.204	9,585,306.634646
3.237603	0.2041	9,805,440.908097
3.241003	0.204	9,732,709.177052
3.244405	0.2041	9,668,339.640531
3.247807	0.2041	9,684,955.543236
3.251207	0.204	9,493,843.406795
3.254608	0.2041	9,461,186.508505
3.258010	0.2041	9,348,747.397800
3.261410	0.204	9,138,835.621622
3.264812	0.2041	9,183,769.527206
3.268213	0.2041	8,986,101.601697
3.271613	0.204	8,800,969.543500
3.275015	0.2041	8,888,309.088844
3.278417	0.2041	8,852,770.509413
3.281817	0.204	8,727,252.583233
3.285218	0.2041	8,684,270.353292
3.288620	0.2041	8,680,716.616008
3.292020	0.204	8,608,205.182844
3.295422	0.2041	8,658,251.631536
3.298822	0.204	8,609,309.790282
3.302223	0.2041	8,602,081.516616
3.305625	0.2041	8,658,549.149227
3.309025	0.204	8,512,982.670342
3.312427	0.2041	8,545,239.417373
3.315828	0.2041	8,601,088.972974
3.319228	0.204	8,448,102.421746
3.322630	0.2041	8,354,125.013221
3.326032	0.2041	8,306,066.637446
3.329432	0.204	8,239,760.341178
3.332833	0.2041	8,225,709.029719
3.336235	0.2041	8,099,611.771912
3.339635	0.204	8,025,051.968432
3.343037	0.2041	8,011,653.131231
3.346438	0.2041	7,986,744.824696
3.349838	0.204	8,069,347.108251
3.353240	0.2041	8,057,963.199703
3.356642	0.2041	8,033,421.117436
3.360042	0.204	8,027,873.634378
3.363443	0.2041	7,892,426.201851
3.366843	0.204	7,840,757.242482
3.370245	0.2041	7,735,725.318930
3.373647	0.2041	7,596,635.581645
3.377047	0.204	7,577,231.019180
3.380448	0.2041	7,493,402.791922
3.383850	0.2041	7,508,727.644296
3.387250	0.204	7,521,966.491922
3.390652	0.2041	7,441,467.350760
3.394053	0.2041	7,431,574.976365
3.397453	0.204	7,374,612.645874
3.400855	0.2041	7,396,529.766822
3.404257	0.2041	7,435,236.240106
3.407657	0.204	7,428,446.125889
3.411058	0.2041	7,395,337.565070
3.414460	0.2041	7,162,702.470281
3.417860	0.204	7,099,949.675685
3.421262	0.2041	7,257,267.115818
3.424662	0.204	7,271,713.928615
3.428063	0.2041	7,165,849.942666
3.431465	0.2041	7,192,940.974635
3.434865	0.204	7,256,617.666448
3.438267	0.2041	7,195,208.608315
3.441668	0.2041	7,061,388.237821
3.445068	0.204	6,880,869.137601
3.448470	0.2041	6,740,892.255697
3.451872	0.2041	6,690,061.116144
3.455272	0.204	6,725,374.648993
3.458673	0.2041	6,713,588.041894
3.462075	0.2041	6,678,554.333494
