File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/208.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_04-2
Injection Number	36
Position	5
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	9/21/2019
Injection Time	5:27:26 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000715
Time Max. (min)	22.992268
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3,979,380.721636
Signal Max.	3,926,259,590.039150
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406485

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000715	n.a.	12,186,646.812836
3.004115	0.204	12,075,259.220772
3.007517	0.2041	11,849,996.862803
3.010918	0.2041	11,719,008.840854
3.014318	0.204	11,671,930.347085
3.017720	0.2041	11,528,404.923123
3.021122	0.2041	11,469,572.168998
3.024522	0.204	11,342,076.006010
3.027923	0.2041	11,014,361.444096
3.031325	0.2041	10,907,194.574414
3.034725	0.204	10,903,534.333733
3.038127	0.2041	10,885,040.932145
3.041527	0.204	10,815,001.068770
3.044928	0.2041	10,654,961.533146
3.048330	0.2041	10,685,487.249498
3.051730	0.204	10,635,521.092751
3.055132	0.2041	10,400,910.542553
3.058533	0.2041	10,302,362.481064
3.061933	0.204	10,180,330.362861
3.065335	0.2041	10,148,719.641855
3.068737	0.2041	10,184,536.792742
3.072137	0.204	9,833,871.792289
3.075538	0.2041	9,533,883.068208
3.078940	0.2041	9,548,620.081708
3.082340	0.204	9,352,462.995933
3.085742	0.2041	9,003,517.241115
3.089143	0.2041	8,943,552.029552
3.092543	0.204	8,814,002.685712
3.095945	0.2041	8,505,678.632503
3.099345	0.204	8,339,776.212490
3.102747	0.2041	8,295,725.397081
3.106148	0.2041	8,311,592.719856
3.109548	0.204	8,248,265.937101
3.112950	0.2041	8,144,949.617476
3.116352	0.2041	8,130,007.054837
3.119752	0.204	8,027,840.817196
3.123153	0.2041	7,859,586.841400
3.126555	0.2041	7,927,766.573064
3.129955	0.204	7,943,532.310503
3.133357	0.2041	7,779,184.919172
3.136758	0.2041	7,701,449.621786
3.140158	0.204	7,648,794.902721
3.143560	0.2041	7,648,057.268359
3.146962	0.2041	7,559,038.646984
3.150362	0.204	7,438,784.254380
3.153763	0.2041	7,496,041.145855
3.157165	0.2041	7,381,888.590507
3.160565	0.204	7,309,824.270631
3.163967	0.2041	7,399,095.538262
3.167367	0.204	7,375,095.085677
3.170768	0.2041	7,351,067.583027
3.174170	0.2041	7,306,053.148305
3.177570	0.204	7,279,000.917620
3.180972	0.2041	7,303,137.863328
3.184373	0.2041	7,127,955.862912
3.187773	0.204	6,946,536.145563
3.191175	0.2041	6,939,477.666261
3.194577	0.2041	6,934,582.451244
3.197977	0.204	6,939,538.370572
3.201378	0.2041	6,813,005.315602
3.204780	0.2041	6,727,957.697014
3.208180	0.204	6,697,731.613744
3.211582	0.2041	6,570,770.214873
3.214983	0.2041	6,528,362.167900
3.218383	0.204	6,546,943.086808
3.221785	0.2041	6,536,831.330909
3.225187	0.2041	6,531,231.967948
3.228587	0.204	6,495,619.076587
3.231988	0.2041	6,412,333.564624
3.235388	0.204	6,386,288.813056
3.238790	0.2041	6,332,085.764321
3.242192	0.2041	6,235,044.718613
3.245592	0.204	6,238,744.721354
3.248993	0.2041	6,305,665.520772
3.252395	0.2041	6,300,961.783479
3.255795	0.204	6,235,372.717074
3.259197	0.2041	6,133,335.068314
3.262598	0.2041	6,111,273.447783
3.265998	0.204	6,127,480.238722
3.269400	0.2041	6,066,441.660803
3.272802	0.2041	6,038,684.711979
3.276202	0.204	6,045,975.480310
3.279603	0.2041	6,046,370.429612
3.283005	0.2041	5,965,236.848660
3.286405	0.204	5,876,827.489718
3.289807	0.2041	5,884,356.517147
3.293208	0.2041	5,844,281.994016
3.296608	0.204	5,827,490.835235
3.300010	0.2041	5,858,907.168981
3.303410	0.204	5,717,783.258944
3.306812	0.2041	5,623,266.671901
3.310213	0.2041	5,700,907.213760
3.313613	0.204	5,788,218.257422
3.317015	0.2041	5,823,724.388322
3.320417	0.2041	5,684,448.497278
3.323817	0.204	5,613,393.477061
3.327218	0.2041	5,582,734.390092
3.330620	0.2041	5,471,706.153368
3.334020	0.204	5,492,182.742616
3.337422	0.2041	5,434,862.758259
3.340823	0.2041	5,420,374.631483
3.344223	0.204	5,423,051.885917
3.347625	0.2041	5,198,060.870375
3.351027	0.2041	5,160,132.702092
3.354427	0.204	5,350,580.438708
3.357828	0.2041	5,270,034.196301
3.361228	0.204	5,111,366.085020
3.364630	0.2041	5,211,168.856007
3.368032	0.2041	5,294,580.395391
3.371432	0.204	5,172,806.126148
3.374833	0.2041	5,076,191.454222
3.378235	0.2041	5,128,103.575622
3.381635	0.204	5,139,979.797668
3.385037	0.2041	5,115,638.456482
3.388438	0.2041	5,054,635.781246
3.391838	0.204	5,025,149.959328
3.395240	0.2041	5,034,915.866069
3.398642	0.2041	5,011,728.029678
3.402042	0.204	5,000,426.699505
3.405443	0.2041	4,967,042.296241
3.408845	0.2041	4,934,910.628718
3.412245	0.204	4,889,879.445174
3.415647	0.2041	4,871,091.130035
3.419047	0.204	4,937,072.044440
3.422448	0.2041	4,864,410.139793
3.425850	0.2041	4,667,294.538450
3.429250	0.204	4,658,228.010139
3.432652	0.2041	4,731,716.263773
3.436053	0.2041	4,756,148.762995
3.439453	0.204	4,715,379.714279
3.442855	0.2041	4,617,685.641807
3.446257	0.2041	4,630,567.455484
3.449657	0.204	4,667,059.320117
3.453058	0.2041	4,661,730.494210
3.456460	0.2041	4,522,228.176573
3.459860	0.204	4,333,935.526488
3.463262	0.2041	4,402,445.003640
3.466663	0.2041	4,542,394.876268
3.470063	0.204	4,461,463.274239
3.473465	0.2041	4,367,304.014481
3.476867	0.2041	4,382,053.198792
3.480267	0.204	4,301,726.507357
3.483668	0.2041	4,241,496.083921
3.487068	0.204	4,255,691.981785
3.490470	0.2041	4,210,931.651143
3.493872	0.2041	4,152,739.593071
3.497272	0.204	4,145,881.490159
3.500673	0.2041	4,153,995.054978
3.504075	0.2041	4,177,386.041349
3.507475	0.204	4,242,192.275081
3.510877	0.2041	4,267,327.521844
3.514278	0.2041	4,243,007.637035
3.517678	0.204	4,191,950.722510
3.521080	0.2041	4,170,999.634870
3.524482	0.2041	4,155,954.094408
3.527882	0.204	4,146,945.111175
3.531283	0.2041	4,217,332.884902
3.534685	0.2041	4,186,887.017862
3.538085	0.204	4,169,981.272887
3.541487	0.2041	4,192,421.556344
3.544887	0.204	4,132,987.418101
3.548288	0.2041	4,315,284.774084
3.551690	0.2041	4,462,383.390615
3.555090	0.204	4,441,713.863923
3.558492	0.2041	4,423,491.428337
3.561893	0.2041	4,353,172.827494
3.565293	0.204	4,335,902.687690
3.568695	0.2041	4,316,431.952508
3.572097	0.2041	4,217,679.984283
3.575497	0.204	4,176,272.815796
3.578898	0.2041	4,205,494.769322
3.582300	0.2041	4,199,436.119167
3.585700	0.204	4,189,451.307631
3.589102	0.2041	4,096,998.227912
3.592503	0.2041	4,105,900.320562
3.595903	0.204	4,213,706.176956
3.599305	0.2041	4,194,209.353331
3.602707	0.2041	4,093,463.695510
3.606107	0.204	4,085,011.353107
3.609508	0.2041	4,180,838.248733
3.612908	0.204	4,244,052.326217
3.616310	0.2041	4,224,321.837256
3.619712	0.2041	4,184,304.230363
3.623112	0.204	4,226,821.903937
3.626513	0.2041	4,190,707.942132
3.629915	0.2041	4,083,901.589326
3.633315	0.204	4,024,094.397616
3.636717	0.2041	4,091,972.708811
3.640118	0.2041	4,095,448.565425
3.643518	0.204	4,084,303.627476
3.646920	0.2041	4,176,743.960367
3.650322	0.2041	4,113,224.505524
3.653722	0.204	3,981,688.351979
3.657123	0.2041	3,986,497.242522
3.660525	0.2041	4,086,621.269665
3.663925	0.204	4,041,639.022990
3.667327	0.2041	3,979,380.721636
3.670728	0.2041	4,182,312.548921
3.674128	0.204	4,204,532.889967
3.677530	0.2041	4,081,171.106401
3.680930	0.204	4,216,169.515021
3.684332	0.2041	4,193,947.990943
3.687733	0.2041	4,029,181.098259
3.691133	0.204	4,045,546.916107
3.694535	0.2041	4,072,410.262927
3.697937	0.2041	4,092,474.220975
3.701337	0.204	4,088,184.703123
3.704738	0.2041	4,077,924.789481
3.708140	0.2041	4,131,680.790077
3.711540	0.204	4,117,844.725278
3.714942	0.2041	4,085,870.938562
3.718343	0.2041	4,030,912.563634
3.721743	0.204	4,081,045.090628
3.725145	0.2041	4,213,023.110039
3.728547	0.2041	4,209,870.770194
3.731947	0.204	4,249,770.504359
3.735348	0.2041	4,269,744.364258
3.738748	0.204	4,282,552.501158
3.742150	0.2041	4,332,752.198242
3.745552	0.2041	4,386,784.670788
3.748952	0.204	4,466,719.532720
3.752353	0.2041	4,488,159.872898
3.755755	0.2041	4,531,472.870242
3.759155	0.204	4,600,866.281671
3.762557	0.2041	4,663,081.639041
3.765958	0.2041	4,739,683.804194
3.769358	0.204	4,743,639.796214
3.772760	0.2041	4,800,117.934274
3.776162	0.2041	4,976,768.038985
3.779562	0.204	5,054,082.165692
3.782963	0.2041	5,098,773.967814
3.786365	0.2041	5,228,505.176535
3.789765	0.204	5,360,704.406863
3.793167	0.2041	5,461,812.163065
3.796568	0.2041	5,599,893.714145
3.799968	0.204	5,630,428.276303
3.803370	0.2041	5,620,719.184881
3.806770	0.204	5,707,003.939952
3.810172	0.2041	5,776,583.351721
3.813573	0.2041	5,739,101.600799
3.816973	0.204	5,758,113.741896
3.820375	0.2041	5,908,132.494850
3.823777	0.2041	6,040,616.652370
3.827177	0.204	6,103,095.540083
3.830578	0.2041	6,145,795.193481
3.833980	0.2041	6,312,863.753674
3.837380	0.204	6,397,618.548644
3.840782	0.2041	6,416,653.357147
3.844183	0.2041	6,431,320.926948
3.847583	0.204	6,458,556.790502
3.850985	0.2041	6,487,177.350435
3.854387	0.2041	6,555,316.151827
3.857787	0.204	6,698,343.210383
3.861188	0.2041	6,743,121.694755
3.864588	0.204	6,886,807.768753
3.867990	0.2041	6,990,937.133281
3.871392	0.2041	7,104,061.871704
3.874792	0.204	7,432,325.552393
3.878193	0.2041	7,651,630.104607
3.881595	0.2041	7,913,878.044564
3.884995	0.204	8,273,637.813358
3.888397	0.2041	8,337,938.937525
3.891798	0.2041	8,400,055.568419
3.895198	0.204	8,493,128.377136
3.898600	0.2041	8,400,158.832083
3.902002	0.2041	8,560,690.802324
3.905402	0.204	8,725,603.481136
3.908803	0.2041	8,738,340.785858
3.912205	0.2041	8,932,218.009241
3.915605	0.204	9,104,831.767028
3.919007	0.2041	9,237,664.977554
3.922407	0.204	9,209,708.956871
3.925808	0.2041	9,073,812.869837
3.929210	0.2041	9,085,642.031311
3.932610	0.204	9,168,143.704007
3.936012	0.2041	9,287,341.180492
3.939413	0.2041	9,320,153.110711
3.942813	0.204	9,295,848.460244
3.946215	0.2041	9,298,927.892824
3.949617	0.2041	9,284,801.873289
3.953017	0.204	9,283,297.762944
3.956418	0.2041	9,265,204.714309
3.959820	0.2041	9,195,920.053608
3.963220	0.204	9,123,331.433689
3.966622	0.2041	9,118,169.420455
3.970023	0.2041	9,227,455.673284
3.973423	0.204	9,226,500.917460
3.976825	0.2041	9,177,802.645443
3.980227	0.2041	9,354,172.154213
3.983627	0.204	9,518,624.172875
3.987028	0.2041	9,522,908.389883
3.990428	0.204	9,370,131.199122
