File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/427.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_02-1
Injection Number	13
Position	113
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	3:31:46 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000912
Time Max. (min)	22.992478
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	5,064,397.016647
Signal Max.	1,155,961,057.546450
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.000912	n.a.	18,255,476.117409
3.004312	0.204	18,528,568.402077
3.007713	0.2041	18,519,915.534616
3.011115	0.2041	17,985,880.642027
3.014515	0.204	17,748,025.757420
3.017917	0.2041	17,516,540.726023
3.021318	0.2041	17,263,869.615931
3.024718	0.204	16,992,957.604174
3.028120	0.2041	16,504,312.631829
3.031522	0.2041	16,411,004.180106
3.034922	0.204	16,552,058.628358
3.038323	0.2041	16,285,312.452067
3.041725	0.2041	15,637,331.609125
3.045125	0.204	15,333,250.721488
3.048527	0.2041	15,460,177.466295
3.051928	0.2041	15,269,505.173452
3.055328	0.204	15,024,592.706033
3.058730	0.2041	14,760,238.301410
3.062132	0.2041	14,564,004.438212
3.065532	0.204	14,476,776.318961
3.068933	0.2041	14,204,387.808866
3.072333	0.204	14,165,170.978452
3.075735	0.2041	14,243,188.760913
3.079137	0.2041	14,047,383.302160
3.082537	0.204	13,777,763.886739
3.085938	0.2041	13,573,669.665981
3.089340	0.2041	13,228,042.439445
3.092740	0.204	12,969,035.312225
3.096142	0.2041	12,497,398.804828
3.099543	0.2041	12,107,226.059816
3.102943	0.204	12,036,272.631251
3.106345	0.2041	11,881,173.556327
3.109747	0.2041	11,809,777.200869
3.113147	0.204	11,688,562.135352
3.116548	0.2041	11,418,237.649068
3.119950	0.2041	11,010,074.151651
3.123350	0.204	10,964,159.057081
3.126752	0.2041	10,943,249.303446
3.130153	0.2041	10,644,044.488488
3.133553	0.204	10,585,709.088848
3.136955	0.2041	10,585,053.773556
3.140355	0.204	10,478,532.960676
3.143757	0.2041	10,285,891.530904
3.147158	0.2041	10,178,100.287447
3.150558	0.204	10,185,791.171202
3.153960	0.2041	10,081,064.812858
3.157362	0.2041	10,021,916.375505
3.160762	0.204	9,844,068.709836
3.164163	0.2041	9,643,823.177510
3.167565	0.2041	9,699,351.005283
3.170965	0.204	9,598,884.386096
3.174367	0.2041	9,488,119.390132
3.177768	0.2041	9,568,848.533056
3.181168	0.204	9,385,847.314267
3.184570	0.2041	9,095,345.767226
3.187972	0.2041	9,181,488.655820
3.191372	0.204	9,247,499.575581
3.194773	0.2041	9,106,083.603914
3.198175	0.2041	9,020,911.684336
3.201575	0.204	8,992,164.544162
3.204977	0.2041	8,933,286.221685
3.208377	0.204	8,864,141.399616
3.211778	0.2041	8,717,762.786349
3.215180	0.2041	8,620,490.813600
3.218580	0.204	8,725,771.994514
3.221982	0.2041	8,676,713.677279
3.225383	0.2041	8,554,783.157468
3.228783	0.204	8,547,338.965492
3.232185	0.2041	8,435,586.832590
3.235587	0.2041	8,258,683.889306
3.238987	0.204	8,224,531.570698
3.242388	0.2041	8,109,041.694747
3.245790	0.2041	8,015,906.336969
3.249190	0.204	8,218,282.613899
3.252592	0.2041	8,217,543.279042
3.255993	0.2041	8,037,604.354139
3.259393	0.204	8,166,868.954594
3.262795	0.2041	8,211,341.046019
3.266197	0.2041	7,975,697.386375
3.269597	0.204	7,895,075.044092
3.272998	0.2041	7,913,419.187847
3.276398	0.204	7,826,343.622624
3.279800	0.2041	7,623,081.388962
3.283202	0.2041	7,588,142.756042
3.286602	0.204	7,574,993.732991
3.290003	0.2041	7,414,381.769749
3.293405	0.2041	7,400,203.076597
3.296805	0.204	7,447,775.400318
3.300207	0.2041	7,431,467.139629
3.303608	0.2041	7,403,974.889182
3.307008	0.204	7,351,464.600975
3.310410	0.2041	7,127,611.258665
3.313812	0.2041	7,096,845.607278
3.317212	0.204	7,191,351.482214
3.320613	0.2041	7,003,300.805586
3.324015	0.2041	6,931,560.522051
3.327415	0.204	7,096,869.012586
3.330817	0.2041	6,983,881.124253
3.334218	0.2041	6,876,375.854054
3.337618	0.204	6,979,481.661878
3.341020	0.2041	6,835,613.212499
3.344420	0.204	6,776,066.920774
3.347822	0.2041	6,890,434.663884
3.351223	0.2041	6,858,590.964243
3.354623	0.204	6,697,148.685549
3.358025	0.2041	6,617,541.548343
3.361427	0.2041	6,616,440.900334
3.364827	0.204	6,579,076.563810
3.368228	0.2041	6,633,687.913072
3.371630	0.2041	6,687,690.810890
3.375030	0.204	6,642,003.980378
3.378432	0.2041	6,527,681.596276
3.381833	0.2041	6,468,728.541662
3.385233	0.204	6,302,751.511097
3.388635	0.2041	6,155,292.295414
3.392037	0.2041	6,292,972.702431
3.395437	0.204	6,203,598.373312
3.398838	0.2041	6,043,207.544819
3.402240	0.2041	6,086,341.934248
3.405640	0.204	6,022,727.178367
3.409042	0.2041	5,846,926.450278
3.412442	0.204	5,920,808.325419
3.415843	0.2041	6,094,771.266871
3.419245	0.2041	6,091,210.798256
3.422645	0.204	6,130,704.864615
3.426047	0.2041	6,012,339.468150
3.429448	0.2041	5,892,503.900102
3.432848	0.204	5,921,769.743120
3.436250	0.2041	5,790,257.648516
3.439652	0.2041	5,768,557.206504
3.443052	0.204	5,862,520.125230
3.446453	0.2041	5,669,497.191220
3.449855	0.2041	5,532,453.012603
3.453255	0.204	5,699,353.101139
3.456657	0.2041	5,702,779.575972
3.460058	0.2041	5,655,311.300929
3.463458	0.204	5,597,388.269545
3.466860	0.2041	5,507,927.769127
3.470262	0.2041	5,535,804.030911
3.473662	0.204	5,503,145.717044
3.477063	0.2041	5,470,079.391006
3.480463	0.204	5,358,872.516378
3.483865	0.2041	5,253,520.992421
3.487267	0.2041	5,322,402.034128
3.490667	0.204	5,301,422.561774
3.494068	0.2041	5,213,178.194406
3.497470	0.2041	5,278,834.726803
