SourceFile,DateTimeOriginal,GPSLongitude,GPSLatitude,GPSAltitude,GPSPosition
./5-2020-06-01-14-37-28.jpg,2020:06:01 14:37:28,-84.3073688888889,30.4450819444444,NA,30.4450819444444 -84.3073688888889
./5-2020-07-09-10-21-47.jpg,2020:07:09 10:21:47,,,NA,NA
./5-2020-08-21-12-45-02.jpg,2020:08:21 12:45:02,,,NA,NA
./5-2020-10-06-14-20-22.jpg,2020:10:06 14:20:22,-84.30731,30.4451708333333,0,30.4451708333333 -84.30731
./5-2020-11-05-16-27-55.jpg,2020:11:05 16:27:55,-84.3073769444444,30.44518,NA,30.44518 -84.3073769444444
./5-2021-01-06-15-58-23.jpg,2021:01:06 15:58:23,-84.3073269444444,30.4451577777778,2,30.4451577777778 -84.3073269444444
./5-2021-02-08-12-30-04.jpg,2021:02:08 12:30:04,-84.3073347222222,30.4451888888889,NA,30.4451888888889 -84.3073347222222
./5-2021-03-18-11-50-16.jpg,2021:03:18 11:50:16,-84.3073008333333,30.4451738888889,11,30.4451738888889 -84.3073008333333
./5-2021-03-18-12-03-30.jpg,2021:03:18 12:03:30,-84.3072319444444,30.4451669444444,12,30.4451669444444 -84.3072319444444
./6-2020-03-31-09-56-24.jpg,2020:03:31 09:56:24,-84.3073608333333,30.4451938888889,0,30.4451938888889 -84.3073608333333
./6-2020-04-30-15-48-52.jpg,2020:04:30 15:48:52,-84.3073297222222,30.445135,NA,30.445135 -84.3073297222222
./6-2020-06-01-14-37-40.jpg,2020:06:01 14:37:40,-84.3073488888889,30.4451258333333,NA,30.4451258333333 -84.3073488888889
./6-2020-07-09-10-21-59.jpg,2020:07:09 10:21:59,,,NA,NA
./6-2020-08-21-12-45-13.jpg,2020:08:21 12:45:13,,,NA,NA
./6-2020-10-06-14-20-30.jpg,2020:10:06 14:20:30,-84.307235,30.4451127777778,NA,30.4451127777778 -84.307235
./6-2020-11-05-16-28-02.jpg,2020:11:05 16:28:02,-84.3073508333333,30.44517,NA,30.44517 -84.3073508333333
./6-2021-01-06-15-58-32.jpg,2021:01:06 15:58:32,-84.3073108333333,30.4451669444444,3,30.4451669444444 -84.3073108333333
