sample_no,date,lon,lat,position,collector,source,plant_cv,symptoms,family,order
1,2020-07-09T16:57:06Z,-84.343855,30.410463,30.410463 -84.343855,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_1.JPG,liriopogon,ofv,nolinoideae,asparagales
2,2020-07-28T12:33:35Z,-84.3436489722222,30.4105939722222,30.4105939722222 -84.3436489722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_2.JPG,liriopogon,ofv,nolinoideae,asparagales
3,2020-07-28T12:34:20Z,-84.343387,30.4105519722222,30.4105519722222 -84.343387,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_3.JPG,liriopogon,ofv,nolinoideae,asparagales
4,2020-07-28T12:34:50Z,-84.344025,30.4108179722222,30.4108179722222 -84.344025,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_4.JPG,liriopogon,ofv,nolinoideae,asparagales
5,2020-07-28T12:34:58Z,-84.344025,30.4108179722222,30.4108179722222 -84.344025,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_5.JPG,liriopogon,ofv,nolinoideae,asparagales
6,2020-08-07T14:13:25Z,-84.34393,30.410636,30.410636 -84.34393,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_6.JPG,liriopogon,ofv,nolinoideae,asparagales
7,2020-08-07T14:13:36Z,-84.34393,30.410636,30.410636 -84.34393,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_7.JPG,liriopogon,ofv,nolinoideae,asparagales
8,2020-08-07T14:37:17Z,-84.344012,30.4103829722222,30.4103829722222 -84.344012,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_8.JPG,liriopogon,ofv,nolinoideae,asparagales
9,2020-08-07T14:37:28Z,-84.344012,30.4103829722222,30.4103829722222 -84.344012,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_9.JPG,liriopogon,ofv,nolinoideae,asparagales
10,2020-08-07T14:37:39Z,-84.344012,30.4103829722222,30.4103829722222 -84.344012,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_10.JPG,liriopogon,ofv,nolinoideae,asparagales
11,2020-08-07T14:38:22Z,-84.3439709722222,30.410381,30.410381 -84.3439709722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_11.JPG,liriopogon,ofv,nolinoideae,asparagales
12,2020-08-07T14:38:54Z,-84.343929,30.4103789722222,30.4103789722222 -84.343929,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_12.JPG,liriopogon,ofv,nolinoideae,asparagales
13,2020-08-07T14:38:57Z,-84.343929,30.4103789722222,30.4103789722222 -84.343929,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_13.JPG,liriopogon,ofv,nolinoideae,asparagales
14,2020-08-07T14:39:06Z,-84.3439089722222,30.4104169722222,30.4104169722222 -84.3439089722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_14.JPG,liriopogon,ofv,nolinoideae,asparagales
15,2020-08-07T14:39:56Z,-84.343939,30.4104409722222,30.4104409722222 -84.343939,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_15.JPG,liriopogon,ofv,nolinoideae,asparagales
16,2020-08-07T14:40:10Z,-84.343939,30.4104409722222,30.4104409722222 -84.343939,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_16.JPG,liriopogon,ofv,nolinoideae,asparagales
17,2020-08-07T14:40:46Z,-84.343973,30.410461,30.410461 -84.343973,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_17.JPG,liriopogon,ofv,nolinoideae,asparagales
18,2020-08-07T14:40:53Z,-84.343973,30.410461,30.410461 -84.343973,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_18.JPG,liriopogon,ofv,nolinoideae,asparagales
19,2020-08-07T14:47:30Z,-84.3445219722222,30.4107659722222,30.4107659722222 -84.3445219722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_19.JPG,liriopogon,uninfected,nolinoideae,asparagales
20,2020-08-07T14:47:51Z,-84.344431,30.410737,30.410737 -84.344431,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_20.JPG,liriopogon,uninfected,nolinoideae,asparagales
21,2020-08-07T14:48:01Z,-84.344431,30.410737,30.410737 -84.344431,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_21.JPG,liriopogon,uninfected,nolinoideae,asparagales
22,2020-08-07T14:56:23Z,-84.344166,30.410475,30.410475 -84.344166,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_22.JPG,liriopogon,ofv,nolinoideae,asparagales
23,2020-08-07T15:06:49Z,-84.3439609722222,30.4102519722222,30.4102519722222 -84.3439609722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_23.JPG,liriopogon,ofv,nolinoideae,asparagales
24,2020-08-07T15:06:55Z,-84.3439609722222,30.4102519722222,30.4102519722222 -84.3439609722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_24.JPG,liriopogon,ofv,nolinoideae,asparagales
25,2020-08-07T15:08:17Z,-84.3440039722222,30.410204,30.410204 -84.3440039722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_25.JPG,liriopogon,ofv,nolinoideae,asparagales
26,2020-08-07T15:08:45Z,-84.3440039722222,30.410204,30.410204 -84.3440039722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_26.JPG,liriopogon,ofv,nolinoideae,asparagales
27,2020-08-07T15:09:08Z,-84.3440039722222,30.410204,30.410204 -84.3440039722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_27.JPG,liriopogon,ofv,nolinoideae,asparagales
28,2020-08-07T15:09:20Z,-84.344087,30.4102619722222,30.4102619722222 -84.344087,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_28.JPG,liriopogon,ofv,nolinoideae,asparagales
29,2020-08-07T15:10:22Z,-84.3440769722222,30.410256,30.410256 -84.3440769722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_29.JPG,liriopogon,ofv,nolinoideae,asparagales
30,2020-08-07T15:10:34Z,-84.3440769722222,30.410256,30.410256 -84.3440769722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_30.JPG,liriopogon,ofv,nolinoideae,asparagales
31,2020-08-07T15:10:39Z,-84.3440769722222,30.410256,30.410256 -84.3440769722222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_31.JPG,liriopogon,ofv,nolinoideae,asparagales
32,2020-08-07T15:11:10Z,-84.344188,30.410323000000002,30.410323 -84.344188,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_32.JPG,liriopogon,ofv,nolinoideae,asparagales
33,2020-08-07T15:11:26Z,-84.344188,30.410323000000002,30.410323 -84.344188,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_33.JPG,liriopogon,ofv,nolinoideae,asparagales
34,2020-08-07T15:16:29Z,-84.344386,30.4102759722222,30.4102759722222 -84.344386,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_34.JPG,liriopogon,uninfected,nolinoideae,asparagales
35,2020-08-07T15:16:37Z,-84.344386,30.4102759722222,30.4102759722222 -84.344386,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_35.JPG,liriopogon,uninfected,nolinoideae,asparagales
36,2020-08-07T15:21:30Z,-84.3448879722222,30.411134,30.411134 -84.3448879722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_36.JPG,liriopogon,uninfected,nolinoideae,asparagales
37,2020-08-07T15:24:49Z,-84.3451469722222,30.4111809722222,30.4111809722222 -84.3451469722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_37.JPG,liriopogon,uninfected,nolinoideae,asparagales
38,2020-08-07T15:40:42Z,-84.344841,30.4098399722222,30.4098399722222 -84.344841,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_39.JPG,liriopogon,uninfected,nolinoideae,asparagales
39,2020-08-07T15:40:52Z,-84.344841,30.4098399722222,30.4098399722222 -84.344841,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_40.JPG,liriopogon,uninfected,nolinoideae,asparagales
40,2020-08-07T15:41:22Z,-84.345145,30.4099789722222,30.4099789722222 -84.345145,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_41.JPG,liriopogon,uninfected,nolinoideae,asparagales
41,2020-08-07T15:48:27Z,-84.345093,30.4099269722222,30.4099269722222 -84.345093,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_42.JPG,liriopogon,ofv,nolinoideae,asparagales
42,2020-08-07T16:04:39Z,-84.345076,30.4097499722222,30.4097499722222 -84.345076,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_43.JPG,liriopogon,ofv,nolinoideae,asparagales
43,2020-08-07T16:12:43Z,-84.3444499722222,30.410035,30.410035 -84.3444499722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_44.JPG,liriopogon,uninfected,nolinoideae,asparagales
44,2020-08-07T16:15:55Z,-84.34412,30.409872,30.409872 -84.34412,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_45.JPG,liriopogon,uninfected,nolinoideae,asparagales
45,2020-08-07T16:16:07Z,-84.34412,30.409872,30.409872 -84.34412,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_46.JPG,liriopogon,uninfected,nolinoideae,asparagales
46,2020-08-07T16:16:16Z,-84.34389,30.4100019722222,30.4100019722222 -84.34389,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_47.JPG,liriopogon,uninfected,nolinoideae,asparagales
47,2020-08-07T16:16:59Z,-84.34384,30.409879,30.409879 -84.34384,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_48.JPG,liriopogon,uninfected,nolinoideae,asparagales
48,2020-08-07T16:17:14Z,-84.34384,30.409879,30.409879 -84.34384,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_49.JPG,liriopogon,uninfected,nolinoideae,asparagales
49,2020-08-07T16:17:38Z,-84.3435259722222,30.409924,30.409924 -84.3435259722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_50.JPG,liriopogon,uninfected,nolinoideae,asparagales
50,2020-08-07T16:19:15Z,-84.3436949722222,30.409496,30.409496 -84.3436949722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_51.JPG,liriopogon,uninfected,nolinoideae,asparagales
51,2020-08-07T16:19:49Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_52.JPG,liriopogon,uninfected,nolinoideae,asparagales
52,2020-08-07T16:19:54Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_53.JPG,liriopogon,uninfected,nolinoideae,asparagales
53,2020-08-07T16:19:56Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_54.JPG,liriopogon,uninfected,nolinoideae,asparagales
54,2020-08-07T16:20:06Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_55.JPG,liriopogon,uninfected,nolinoideae,asparagales
55,2020-08-07T16:20:11Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_56.JPG,liriopogon,uninfected,nolinoideae,asparagales
56,2020-08-07T16:20:28Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_57.JPG,liriopogon,uninfected,nolinoideae,asparagales
57,2020-08-07T16:20:45Z,-84.343557,30.409856,30.409856 -84.343557,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_58.JPG,liriopogon,uninfected,nolinoideae,asparagales
58,2020-08-07T16:24:25Z,-84.343237,30.4101579722222,30.4101579722222 -84.343237,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_59.JPG,liriopogon,uninfected,nolinoideae,asparagales
59,2020-08-07T16:24:37Z,-84.343237,30.4101579722222,30.4101579722222 -84.343237,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_60.JPG,liriopogon,ofv,nolinoideae,asparagales
60,2020-08-07T16:24:40Z,-84.343237,30.4101579722222,30.4101579722222 -84.343237,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_61.JPG,liriopogon,uninfected,nolinoideae,asparagales
61,2020-08-07T16:25:00Z,-84.343237,30.4101579722222,30.4101579722222 -84.343237,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_62.JPG,liriopogon,ofv,nolinoideae,asparagales
62,2020-08-07T16:25:02Z,-84.343237,30.4101579722222,30.4101579722222 -84.343237,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_63.JPG,liriopogon,ofv,nolinoideae,asparagales
63,2020-08-07T16:29:42Z,-84.342494,30.4099679722222,30.4099679722222 -84.342494,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_64.JPG,liriopogon,uninfected,nolinoideae,asparagales
64,2020-08-07T16:31:57Z,-84.342819,30.409817,30.409817 -84.342819,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_65.JPG,liriopogon,uninfected,nolinoideae,asparagales
65,2020-08-07T16:37:53Z,-84.3439549722222,30.4102199722222,30.4102199722222 -84.3439549722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_66.JPG,liriopogon,uninfected,nolinoideae,asparagales
66,2020-08-07T16:38:14Z,-84.3438859722222,30.41016,30.41016 -84.3438859722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_67.JPG,liriopogon,uninfected,nolinoideae,asparagales
67,2020-08-07T16:38:21Z,-84.3438859722222,30.41016,30.41016 -84.3438859722222,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_68.JPG,liriopogon,uninfected,nolinoideae,asparagales
68,2020-08-07T16:39:12Z,-84.343642,30.4103369722222,30.4103369722222 -84.343642,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_69.JPG,liriopogon,ofv,nolinoideae,asparagales
69,2020-08-07T16:39:33Z,-84.344013,30.410506,30.410506 -84.344013,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_70.JPG,liriopogon,uninfected,nolinoideae,asparagales
70,2020-08-07T16:39:42Z,-84.344013,30.410506,30.410506 -84.344013,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_71.JPG,liriopogon,ofv,nolinoideae,asparagales
71,2020-08-07T16:46:39Z,-84.342222,30.4088139722222,30.4088139722222 -84.342222,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_72.JPG,liriopogon,ofv,nolinoideae,asparagales
72,2020-08-07T16:46:57Z,-84.341808,30.408833,30.408833 -84.341808,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_73.JPG,liriopogon,uninfected,nolinoideae,asparagales
73,2020-08-07T16:47:43Z,-84.341808,30.408833,30.408833 -84.341808,Austin N. Fife,./liriopogon/ofv/ofv_first_survey_74.JPG,liriopogon,ofv,nolinoideae,asparagales
74,2020-08-11T14:00:51Z,-84.318285,30.445923,30.445923 -84.318285,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_75.JPG,liriopogon,uninfected,nolinoideae,asparagales
75,2020-08-11T15:14:57Z,-84.595286,30.542636,30.542636 -84.595286,Austin N. Fife,./liriopogon/uninfected/ofv_first_survey_76.JPG,liriopogon,uninfected,nolinoideae,asparagales
76,2020-08-13T14:34:32Z,-84.344243,30.410225,30.410225 -84.344243,Austin N. Fife,./liriopogon/uninfected/zoo_1.jpg,liriopogon,uninfected,nolinoideae,asparagales
77,2020-08-13T14:39:56Z,-84.34416,30.410281,30.410281 -84.34416,Austin N. Fife,./liriopogon/ofv/zoo_2.jpg,liriopogon,ofv,nolinoideae,asparagales
78,2020-08-13T15:47:46Z,-84.3451247222222,30.4099069444444,30.4099069444444 -84.3451247222222,Austin N. Fife,./liriopogon/uninfected/Mark Hale-2020-08-13-15-47-46.jpg,liriopogon,uninfected,nolinoideae,asparagales
79,2020-08-13T16:05:09Z,-84.344485,30.4102808333333,30.4102808333333 -84.344485,Austin N. Fife,./liriopogon/uninfected/Mark Hale 2-2020-08-13-16-05-09.jpg,liriopogon,uninfected,nolinoideae,asparagales
80,2020-08-18T14:55:11Z,-84.3440829722222,30.4103509722222,30.4103509722222 -84.3440829722222,Austin N. Fife,./aspidistra_elatior/ofv/zoo_3.jpg,aspidistra_elatior,ofv,nolinoideae,asparagales
81,2020-08-26T13:02:48Z,-84.2118722222222,30.5541027777778,30.5541027777778 -84.2118722222222,Austin N. Fife,./liriopogon/ofv/knox_1.jpg,liriopogon,ofv,nolinoideae,asparagales
82,2020-08-26T13:03:12Z,-84.2118722222222,30.5541027777778,30.5541027777778 -84.2118722222222,Austin N. Fife,./liriopogon/ofv/knox_2.jpg,liriopogon,ofv,nolinoideae,asparagales
83,2020-08-26T16:46:34Z,-84.2121055555556,30.5540694444444,30.5540694444444 -84.2121055555556,Austin N. Fife,./liriopogon/ofv/knox_3.jpg,liriopogon,ofv,nolinoideae,asparagales
84,2020-09-02T14:59:57Z,-84.2487849722222,30.498476,30.498476 -84.2487849722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_1.JPG,liriopogon,ofv,nolinoideae,asparagales
85,2020-09-02T15:00:05Z,-84.2487849722222,30.498476,30.498476 -84.2487849722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_2.JPG,liriopogon,ofv,nolinoideae,asparagales
86,2020-09-02T15:00:18Z,-84.2487689722222,30.4985309722222,30.4985309722222 -84.2487689722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_3.JPG,liriopogon,ofv,nolinoideae,asparagales
87,2020-09-02T15:00:56Z,-84.2487619722222,30.498557,30.498557 -84.2487619722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_4.JPG,liriopogon,ofv,nolinoideae,asparagales
88,2020-09-02T15:01:33Z,-84.248804,30.498539,30.498539 -84.248804,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_5.JPG,liriopogon,ofv,nolinoideae,asparagales
89,2020-09-02T15:02:17Z,-84.2488,30.498511,30.498511 -84.2488,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_6.JPG,liriopogon,ofv,nolinoideae,asparagales
90,2020-09-02T15:05:26Z,-84.248648,30.498311,30.498311 -84.248648,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_7.JPG,liriopogon,ofv,nolinoideae,asparagales
91,2020-09-02T15:05:42Z,-84.248648,30.498311,30.498311 -84.248648,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_8.JPG,liriopogon,ofv,nolinoideae,asparagales
92,2020-09-02T15:05:52Z,-84.248739,30.4981189722222,30.4981189722222 -84.248739,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_9.JPG,liriopogon,ofv,nolinoideae,asparagales
93,2020-09-02T15:07:01Z,-84.2485309722222,30.498408,30.498408 -84.2485309722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_10.JPG,liriopogon,ofv,nolinoideae,asparagales
94,2020-09-02T15:07:56Z,-84.2485819722222,30.4985029722222,30.4985029722222 -84.2485819722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_11.JPG,liriopogon,ofv,nolinoideae,asparagales
95,2020-09-02T15:08:06Z,-84.2485819722222,30.4985029722222,30.4985029722222 -84.2485819722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_12.JPG,liriopogon,ofv,nolinoideae,asparagales
96,2020-09-02T15:08:56Z,-84.2486349722222,30.4983369722222,30.4983369722222 -84.2486349722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_13.JPG,liriopogon,ofv,nolinoideae,asparagales
97,2020-09-02T15:12:31Z,-84.2479859722222,30.498463,30.498463 -84.2479859722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_14.JPG,liriopogon,ofv,nolinoideae,asparagales
98,2020-09-02T15:12:50Z,-84.2479859722222,30.498463,30.498463 -84.2479859722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_15.JPG,liriopogon,ofv,nolinoideae,asparagales
99,2020-09-02T15:13:14Z,-84.248101,30.4983849722222,30.4983849722222 -84.248101,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_16.JPG,liriopogon,ofv,nolinoideae,asparagales
100,2020-09-02T15:27:04Z,-84.248226,30.498394,30.498394 -84.248226,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_17.JPG,liriopogon,uninfected,nolinoideae,asparagales
101,2020-09-02T15:29:52Z,-84.247944,30.498756,30.498756 -84.247944,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_18.JPG,liriopogon,uninfected,nolinoideae,asparagales
102,2020-09-02T15:40:22Z,-84.2471649722222,30.495995,30.495995 -84.2471649722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_19.JPG,liriopogon,uninfected,nolinoideae,asparagales
103,2020-09-02T15:40:34Z,-84.2471649722222,30.495995,30.495995 -84.2471649722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_20.JPG,liriopogon,uninfected,nolinoideae,asparagales
104,2020-09-02T15:40:50Z,-84.2471649722222,30.495995,30.495995 -84.2471649722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_21.JPG,liriopogon,uninfected,nolinoideae,asparagales
105,2020-09-02T15:42:22Z,-84.2473279722222,30.496632,30.496632 -84.2473279722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_22.JPG,liriopogon,uninfected,nolinoideae,asparagales
106,2020-09-02T15:42:39Z,-84.247324,30.4963179722222,30.4963179722222 -84.247324,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_23.JPG,liriopogon,uninfected,nolinoideae,asparagales
107,2020-09-02T15:42:49Z,-84.247324,30.4963179722222,30.4963179722222 -84.247324,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_24.JPG,liriopogon,uninfected,nolinoideae,asparagales
108,2020-09-02T15:43:04Z,-84.247398,30.4967229722222,30.4967229722222 -84.247398,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_25.JPG,liriopogon,uninfected,nolinoideae,asparagales
109,2020-09-02T15:43:19Z,-84.2474009722222,30.4968329722222,30.4968329722222 -84.2474009722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_26.JPG,liriopogon,uninfected,nolinoideae,asparagales
110,2020-09-02T16:55:25Z,-84.2399999722222,30.48815,30.48815 -84.2399999722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_27.JPG,liriopogon,ofv,nolinoideae,asparagales
111,2020-09-02T16:56:37Z,-84.2399589722222,30.4880369722222,30.4880369722222 -84.2399589722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_28.JPG,liriopogon,uninfected,nolinoideae,asparagales
112,2020-09-02T16:57:11Z,-84.2399589722222,30.4880369722222,30.4880369722222 -84.2399589722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_29.JPG,liriopogon,ofv,nolinoideae,asparagales
113,2020-09-02T16:57:34Z,-84.2398599722222,30.4879649722222,30.4879649722222 -84.2398599722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_30.JPG,liriopogon,ofv,nolinoideae,asparagales
114,2020-09-02T16:57:47Z,-84.239732,30.487776,30.487776 -84.239732,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_31.JPG,liriopogon,ofv,nolinoideae,asparagales
115,2020-09-02T16:57:54Z,-84.2398309722222,30.4878999722222,30.4878999722222 -84.2398309722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_32.JPG,liriopogon,ofv,nolinoideae,asparagales
116,2020-09-02T16:58:15Z,-84.2399669722222,30.4880099722222,30.4880099722222 -84.2399669722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_33.JPG,liriopogon,ofv,nolinoideae,asparagales
117,2020-09-02T17:01:08Z,-84.2398709722222,30.487949,30.487949 -84.2398709722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_34.JPG,liriopogon,ofv,nolinoideae,asparagales
118,2020-09-02T17:01:38Z,-84.239697,30.48785,30.48785 -84.239697,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_35.JPG,liriopogon,uninfected,nolinoideae,asparagales
119,2020-09-02T17:02:19Z,-84.2395929722222,30.487731,30.487731 -84.2395929722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_36.JPG,liriopogon,ofv,nolinoideae,asparagales
120,2020-09-02T17:03:03Z,-84.239849,30.48776,30.48776 -84.239849,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_37.JPG,liriopogon,uninfected,nolinoideae,asparagales
121,2020-09-02T17:03:49Z,-84.239783,30.4877499722222,30.4877499722222 -84.239783,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_38.JPG,liriopogon,uninfected,nolinoideae,asparagales
122,2020-09-02T17:04:42Z,-84.2397409722222,30.48767,30.48767 -84.2397409722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_39.JPG,liriopogon,uninfected,nolinoideae,asparagales
123,2020-09-02T17:04:57Z,-84.2397109722222,30.4876049722222,30.4876049722222 -84.2397109722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_40.JPG,liriopogon,uninfected,nolinoideae,asparagales
124,2020-09-02T17:06:15Z,-84.23957,30.487888,30.487888 -84.23957,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_41.JPG,liriopogon,ofv,nolinoideae,asparagales
125,2020-09-02T17:06:45Z,-84.239373,30.4879889722222,30.4879889722222 -84.239373,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_42.JPG,liriopogon,uninfected,nolinoideae,asparagales
126,2020-09-02T17:07:12Z,-84.239339,30.4877649722222,30.4877649722222 -84.239339,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_43.JPG,liriopogon,ofv,nolinoideae,asparagales
127,2020-09-02T17:07:40Z,-84.2393629722222,30.487638,30.487638 -84.2393629722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_44.JPG,liriopogon,uninfected,nolinoideae,asparagales
128,2020-09-02T17:14:16Z,-84.2407939722222,30.4868999722222,30.4868999722222 -84.2407939722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_45.JPG,liriopogon,uninfected,nolinoideae,asparagales
129,2020-09-02T17:15:23Z,-84.240795,30.4868659722222,30.4868659722222 -84.240795,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_46.JPG,liriopogon,ofv,nolinoideae,asparagales
130,2020-09-02T17:17:36Z,-84.2406919722222,30.486574,30.486574 -84.2406919722222,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_47.JPG,liriopogon,uninfected,nolinoideae,asparagales
131,2020-09-02T17:18:30Z,-84.240525,30.486937,30.486937 -84.240525,Austin N. Fife,./liriopogon/uninfected/ofv_second_survey_48.JPG,liriopogon,uninfected,nolinoideae,asparagales
132,2020-09-02T17:22:59Z,-84.2408259722222,30.486345,30.486345 -84.2408259722222,Austin N. Fife,./liriopogon/ofv/ofv_second_survey_49.JPG,liriopogon,ofv,nolinoideae,asparagales
133,2020-09-18T16:09:17Z,-84.293858,30.4748969722222,30.4748969722222 -84.293858,Austin N. Fife,./liriopogon/ofv/ofv_third_survey_1.JPG,liriopogon,ofv,nolinoideae,asparagales
134,2020-09-18T16:09:39Z,-84.2937799722222,30.475014,30.475014 -84.2937799722222,Austin N. Fife,./liriopogon/uninfected/ofv_third_survey_2.JPG,liriopogon,uninfected,nolinoideae,asparagales
135,2020-09-18T16:12:33Z,-84.293374,30.4748589722222,30.4748589722222 -84.293374,Austin N. Fife,./liriopogon/uninfected/ofv_third_survey_3.JPG,liriopogon,uninfected,nolinoideae,asparagales
136,2020-09-18T16:15:34Z,-84.2943309722222,30.4755639722222,30.4755639722222 -84.2943309722222,Austin N. Fife,./liriopogon/ofv/ofv_third_survey_4.JPG,liriopogon,ofv,nolinoideae,asparagales
