SourceFile,DateTimeOriginal,GPSLongitude,GPSLatitude,GPSPosition,GPSAltitude
./liriopogon/ofv/ofv_eleventh_survey_562.JPG,2020:10:09 16:55:53,-84.282526,30.4425029722222,30.4425029722222 -84.282526,-7.015
./liriopogon/ofv/ofv_eleventh_survey_563.JPG,2020:10:09 16:55:55,-84.282526,30.4425029722222,30.4425029722222 -84.282526,-7.015
./liriopogon/ofv/ofv_eleventh_survey_564.JPG,2020:10:09 16:55:58,-84.282526,30.4425029722222,30.4425029722222 -84.282526,-7.015
./liriopogon/ofv/ofv_eleventh_survey_565.JPG,2020:10:09 16:56:00,-84.282526,30.4425029722222,30.4425029722222 -84.282526,-7.015
./liriopogon/ofv/ofv_eleventh_survey_566.JPG,2020:10:09 16:56:02,-84.282526,30.4425029722222,30.4425029722222 -84.282526,-7.015
./liriopogon/ofv/ofv_eleventh_survey_567.JPG,2020:10:09 16:56:09,-84.2823719722222,30.4426099722222,30.4426099722222 -84.2823719722222,7.42
./liriopogon/ofv/ofv_eleventh_survey_569.JPG,2020:10:09 16:57:34,-84.282143,30.442211,30.442211 -84.282143,23.56
./liriopogon/ofv/ofv_eleventh_survey_570.JPG,2020:10:09 16:57:41,-84.282143,30.442211,30.442211 -84.282143,23.56
./liriopogon/ofv/ofv_eleventh_survey_572.JPG,2020:10:09 16:57:53,-84.282256,30.442056,30.442056 -84.282256,32.331
./liriopogon/ofv/ofv_eleventh_survey_573.JPG,2020:10:09 16:57:57,-84.282256,30.442056,30.442056 -84.282256,32.331
./liriopogon/ofv/ofv_eleventh_survey_574.JPG,2020:10:09 16:58:00,-84.282256,30.442056,30.442056 -84.282256,32.331
./liriopogon/ofv/ofv_eleventh_survey_575.JPG,2020:10:09 16:58:08,-84.282256,30.442056,30.442056 -84.282256,32.331
./liriopogon/ofv/ofv_eleventh_survey_576.JPG,2020:10:09 16:58:15,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_577.JPG,2020:10:09 16:58:19,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_579.JPG,2020:10:09 16:58:35,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_58.JPG,2020:10:09 15:55:50,-84.283219,30.4427249722222,30.4427249722222 -84.283219,28.177
./liriopogon/ofv/ofv_eleventh_survey_580.JPG,2020:10:09 16:58:38,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_581.JPG,2020:10:09 16:58:41,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_582.JPG,2020:10:09 16:58:45,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_583.JPG,2020:10:09 16:58:48,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
./liriopogon/ofv/ofv_eleventh_survey_584.JPG,2020:10:09 16:58:51,-84.2820909722222,30.4421679722222,30.4421679722222 -84.2820909722222,46.645
