File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_qsep.seq/194.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_greenhouse_12-1
Injection Number	23
Position	123
Comment	
Processing Method	basic qualitative
Instrument Method	training-splitless
Type	Unknown
Status	Finished
Injection Date	5/18/2019
Injection Time	8:19:55 AM
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002462
Time Max. (min)	22.994028
Data Points	5879
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	5,374,109.089413
Signal Max.	2,693,956,146.631360
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406499

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.002462	n.a.	16,620,222.250305
3.005862	0.204	16,691,956.109440
3.009263	0.2041	16,960,740.778195
3.012665	0.2041	16,945,813.593860
3.016065	0.204	16,605,453.249701
3.019467	0.2041	16,488,102.467507
3.022868	0.2041	16,465,231.840868
3.026268	0.204	16,244,639.824425
3.029670	0.2041	15,719,960.848090
3.033072	0.2041	15,495,436.072828
3.036472	0.204	15,609,970.009845
3.039873	0.2041	15,445,989.574207
3.043275	0.2041	15,130,342.528931
3.046675	0.204	14,978,735.918223
3.050077	0.2041	15,002,463.197577
3.053478	0.2041	14,781,169.894622
3.056878	0.204	14,600,275.146837
3.060280	0.2041	14,597,130.822764
3.063682	0.2041	14,429,875.970212
3.067082	0.204	14,215,314.986773
3.070483	0.2041	13,867,413.093346
3.073883	0.204	13,737,479.802041
3.077285	0.2041	13,971,647.569971
3.080687	0.2041	13,917,246.887595
3.084087	0.204	13,527,590.611285
3.087488	0.2041	13,148,770.854308
3.090890	0.2041	12,693,027.070546
3.094290	0.204	12,076,177.977246
3.097692	0.2041	11,737,826.837006
3.101093	0.2041	11,558,566.722719
3.104493	0.204	11,248,356.941083
3.107895	0.2041	11,128,108.872204
3.111297	0.2041	11,039,036.928389
3.114697	0.204	10,652,432.082409
3.118098	0.2041	10,558,767.371059
3.121500	0.2041	10,719,222.454821
3.124900	0.204	10,646,161.325428
3.128302	0.2041	10,650,330.449746
3.131703	0.2041	10,549,754.182903
3.135103	0.204	10,257,421.039431
3.138505	0.2041	10,051,779.213075
3.141905	0.204	10,057,247.196869
3.145307	0.2041	10,176,210.610358
3.148708	0.2041	9,996,249.478059
3.152108	0.204	9,782,123.856236
3.155510	0.2041	9,872,172.676288
3.158912	0.2041	9,875,062.224823
3.162312	0.204	9,690,565.879010
3.165713	0.2041	9,699,259.196867
3.169115	0.2041	9,763,352.378360
3.172515	0.204	9,596,585.053488
3.175917	0.2041	9,581,196.668211
3.179318	0.2041	9,608,335.813603
3.182718	0.204	9,616,456.300553
3.186120	0.2041	9,580,061.321293
3.189522	0.2041	9,092,938.895325
3.192922	0.204	9,017,676.276125
3.196323	0.2041	9,262,319.185668
3.199725	0.2041	9,138,662.801231
3.203125	0.204	9,111,258.524778
3.206527	0.2041	9,209,895.755236
3.209927	0.204	9,105,503.920958
3.213328	0.2041	9,103,873.479628
3.216730	0.2041	9,192,985.742286
3.220130	0.204	9,025,021.414716
3.223532	0.2041	8,876,078.819621
3.226933	0.2041	8,726,723.993070
3.230333	0.204	8,693,781.940932
3.233735	0.2041	8,753,419.610996
3.237137	0.2041	8,682,002.545717
3.240537	0.204	8,754,419.432825
3.243938	0.2041	8,946,204.852364
3.247340	0.2041	9,155,464.792607
3.250740	0.204	9,113,188.512491
3.254142	0.2041	8,836,202.987000
3.257543	0.2041	8,792,797.057279
3.260943	0.204	8,888,698.595918
3.264345	0.2041	8,799,321.352865
3.267747	0.2041	8,625,504.176476
3.271147	0.204	8,515,751.882627
3.274548	0.2041	8,373,164.978306
3.277948	0.204	8,244,942.408380
3.281350	0.2041	8,240,967.643122
3.284752	0.2041	8,068,661.850134
3.288152	0.204	7,915,791.714405
3.291553	0.2041	8,066,981.745556
3.294955	0.2041	8,036,037.534645
3.298355	0.204	7,921,551.043519
3.301757	0.2041	7,936,590.840269
3.305158	0.2041	8,050,540.946839
3.308558	0.204	8,085,294.739981
3.311960	0.2041	7,948,492.602718
3.315362	0.2041	7,903,679.012130
3.318762	0.204	7,887,758.040929
3.322163	0.2041	7,818,275.946326
