Peak Analysis								
								
Injection Details								
Injection Name:		rose_clean_site_14			Run Time (min):	37.97		
Vial Number:		18			Injection Volume:	20.00		
Injection Type:		Unknown			Channel:	TIC		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		SPME OFV			Bandwidth:	n.a.		
Processing Method:		3D Qualitative			Dilution Factor:	1.0000		
Injection Date/Time:		26/Jun/21 13:56			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
34		20.512	0.029	 MB*	4.77	1.61	2793840	
35		20.761	0.033	BMB	10.46	1.60	2259865	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Copaene <alpha->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
36	NA (silicate)	21.356	0.035	BM 	6.47	1.63	2106800	
n.a.	Bourbonene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
37	NA (bag)	21.590	n.a.	Rd	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
38	NA (bag)	21.760	0.039	 M 	0.95	n.a.	1709852	
39	NA (silicate)	21.822	0.037	 M 	1.21	n.a.	1905669	
40	NA (silicate)	21.896	0.036	 MB	6.36	n.a.	2045357	
41		21.958	n.a.	Rd	n.a.	n.a.	n.a.	
n.a.	NA (silicate)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
42	NA (silicate)	22.298	0.038	BMB	7.70	1.51	1870726	
n.a.	Caryophyllene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Cubebene <beta->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	Bergamotene <alpha-, cis->	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
43		22.791	0.037	BMB	6.64	1.20	2079891	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
44	NA (bag)	23.233	0.041	BM 	1.34	n.a.	1751553	
45		23.325	0.040	 M 	1.30	n.a.	1931602	
46	NA (bag)	23.410	0.037	 M 	1.58	n.a.	2164671	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
47	Zonarene	23.509	0.036	 M 	1.52	0.94	2312903	
48		23.611	0.043	 M 	n.a.	n.a.	1693954	
49	Murrolene <gamma->	23.740	n.a.	 M 	n.a.	n.a.	n.a.	
50		23.791	0.041	 MB	5.35	n.a.	1900275	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
51	NA (bag)	24.199	0.049	BMB	1.45	0.78	1327598	
52	Murrolene <alpha->	24.315	0.044	BM 	1.45	n.a.	1655000	
53	Farnesene <(E,E)-, alpha->	24.417	0.038	 MB	12.84	n.a.	2234640	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
n.a.	NA (bag)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
54	NA (bag)	25.233	0.037	BMB	3.49	1.35	2634844	
55	NA (bag)	25.457	0.039	BMB	5.89	2.18	2327607	
56		25.542	n.a.	Rd	n.a.	n.a.	n.a.	
57	NA (bag)	25.594	n.a.	Rd	n.a.	n.a.	n.a.	
58	NA (silicate)	25.852	0.040	BMB	7.55	1.67	2347043	
59	Caryophyllene oxide	26.389	0.044	BM 	1.28	0.73	1970035	
60	NA (bag)	26.525	0.081	 MB	9.12	0.90	592275	
61	NA (SPME fiber)	27.471	0.041	BMB	9.55	1.02	2463621	
62	NA (silicate)	28.117	0.039	BMB	2.71	1.02	2936501	
63	NA (contaminant)	28.291	0.037	BMB	5.58	1.15	3264443	
