File Path	chrom://isqd1710520/ChromeleonLocal/Austin/rrd_spme.seq/170.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	rose_clean_site_15
Injection Number	20
Position	19
Comment	
Processing Method	3D Qualitative
Instrument Method	SPME OFV
Type	Unknown
Status	Finished
Injection Date	6/26/2021
Injection Time	2:37:54 PM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.034088
Time Max. (min)	38.000708
Data Points	11164
Detector	MSDevice
Generating Data System	Chromeleon 7.2.6 Build 10049 (287688)
Exporting Data System	Chromeleon 7.2.6.0
Operator	ISQ1710520
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,009,204.661270
Signal Max.	4,575,018,316.769060
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406676

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.034088	n.a.	3,110,597.933670
0.037490	0.2041	3,053,564.522385
0.040892	0.2041	3,039,351.074517
0.044292	0.204	3,011,854.700668
0.047693	0.2041	3,007,208.809578
0.051095	0.2041	3,069,458.562805
0.054495	0.204	2,976,619.143572
0.057897	0.2041	2,897,351.851789
0.061298	0.2041	2,928,348.455853
0.064698	0.204	2,864,866.669945
0.068100	0.2041	2,779,879.231480
0.071502	0.2041	2,754,199.004652
0.074902	0.204	2,817,639.576522
0.078303	0.2041	2,838,429.934189
0.081705	0.2041	2,806,701.004318
0.085105	0.204	2,856,509.997744
0.088507	0.2041	2,859,625.309601
0.091908	0.2041	2,799,800.772744
0.095308	0.204	2,832,985.970070
0.098710	0.2041	2,900,082.904121
0.102112	0.2041	2,923,189.713823
0.105512	0.204	2,917,738.244680
0.108913	0.2041	2,895,787.132944
0.112315	0.2041	2,794,361.243851
0.115715	0.204	2,755,047.511526
0.119117	0.2041	2,770,326.157806
0.122518	0.2041	2,818,066.723331
0.125918	0.204	2,819,089.349886
0.129320	0.2041	2,703,906.479427
0.132722	0.2041	2,739,796.742722
0.136122	0.204	2,791,367.375496
0.139523	0.2041	2,783,574.495316
0.142925	0.2041	2,799,195.604164
0.146325	0.204	2,806,759.249847
0.149727	0.2041	2,819,807.086033
0.153128	0.2041	2,764,339.617012
0.156528	0.204	2,665,667.104496
0.159930	0.2041	2,684,251.145447
0.163332	0.2041	2,733,271.612127
0.166732	0.204	2,701,681.462837
0.170133	0.2041	2,647,987.165087
0.173535	0.2041	2,698,763.789688
0.176935	0.204	2,793,303.812364
0.180337	0.2041	2,735,224.502586
0.183738	0.2041	2,728,258.658304
0.187138	0.204	2,656,707.166504
0.190540	0.2041	2,555,895.506612
0.193942	0.2041	2,634,492.508423
0.197342	0.204	2,672,348.075752
0.200743	0.2041	2,603,979.100680
0.204145	0.2041	2,573,851.542049
0.207545	0.204	2,577,230.241302
0.210947	0.2041	2,587,745.119001
0.214348	0.2041	2,705,295.019386
0.217748	0.204	2,725,527.312042
0.221150	0.2041	2,559,580.036148
0.224552	0.2041	2,564,409.870187
0.227952	0.204	2,604,788.825027
0.231353	0.2041	2,600,800.019521
0.234755	0.2041	2,686,581.399264
0.238155	0.204	2,760,167.509193
0.241557	0.2041	2,715,409.611490
0.244958	0.2041	2,623,932.648179
0.248358	0.204	2,630,669.464317
0.251760	0.2041	2,643,083.731676
0.255162	0.2041	2,703,406.348766
0.258562	0.204	2,769,344.080275
0.261963	0.2041	2,667,200.586946
0.265365	0.2041	2,519,257.808188
0.268765	0.204	2,505,046.979408
0.272167	0.2041	2,489,695.785717
0.275568	0.2041	2,457,349.200653
0.278968	0.204	2,464,303.507307
0.282370	0.2041	2,393,374.196653
0.285772	0.2041	2,422,053.967196
0.289172	0.204	2,470,082.651360
0.292573	0.2041	2,437,717.811285
0.295975	0.2041	2,394,338.745514
0.299375	0.204	2,462,140.128220
0.302777	0.2041	2,491,830.761826
0.306178	0.2041	2,441,532.491539
0.309578	0.204	2,549,291.254974
0.312980	0.2041	2,500,102.520828
0.316382	0.2041	2,451,803.742821
0.319782	0.204	2,611,251.991512
0.323183	0.2041	2,702,474.673141
0.326585	0.2041	2,690,934.144642
0.329985	0.204	2,640,237.041557
0.333387	0.2041	2,715,766.628799
0.336788	0.2041	2,757,580.392960
0.340188	0.204	2,622,371.339054
0.343590	0.2041	2,542,190.451698
0.346992	0.2041	2,662,118.781269
0.350392	0.204	2,700,705.512180
0.353793	0.2041	2,587,595.855618
0.357195	0.2041	2,534,323.554993
0.360595	0.204	2,568,014.805733
0.363997	0.2041	2,609,559.525177
0.367398	0.2041	2,608,974.192917
0.370798	0.204	2,678,827.516087
0.374200	0.2041	2,660,598.426067
0.377602	0.2041	2,578,488.553818
0.381002	0.204	2,532,537.614884
0.384403	0.2041	2,447,694.894707
0.387805	0.2041	2,509,286.514330
0.391205	0.204	2,631,880.250809
0.394607	0.2041	2,570,644.914181
0.398008	0.2041	2,467,992.756798
0.401408	0.204	2,527,701.993973
0.404810	0.2041	2,450,587.640205
0.408212	0.2041	2,317,018.752197
0.411612	0.204	2,441,305.684929
0.415013	0.2041	2,431,576.796154
0.418415	0.2041	2,386,995.488564
0.421815	0.204	2,471,642.860209
0.425217	0.2041	2,457,320.098366
0.428618	0.2041	2,379,107.677673
0.432018	0.204	2,287,370.262474
0.435420	0.2041	2,215,348.276497
0.438822	0.2041	2,292,238.713074
0.442222	0.204	2,348,490.322258
0.445623	0.2041	2,344,819.768488
0.449025	0.2041	2,340,124.231304
0.452425	0.204	2,329,765.395866
0.455827	0.2041	2,234,098.474396
0.459228	0.2041	2,090,994.701553
0.462628	0.204	2,237,038.496311
0.466030	0.2041	2,331,822.473934
0.469432	0.2041	2,228,404.950027
0.472832	0.204	2,273,011.998219
0.476233	0.2041	2,310,512.491318
0.479635	0.2041	2,270,185.335312
0.483035	0.204	2,272,351.004271
0.486437	0.2041	2,243,779.145180
0.489838	0.2041	2,225,501.282616
0.493238	0.204	2,225,761.115700
0.496640	0.2041	2,164,431.242271
0.500042	0.2041	2,179,286.777681
0.503442	0.204	2,162,254.765479
0.506843	0.2041	2,242,428.003048
0.510245	0.2041	2,208,484.912247
0.513645	0.204	2,117,577.288715
0.517047	0.2041	2,285,084.257164
0.520448	0.2041	2,274,802.904530
0.523848	0.204	2,164,688.516594
0.527250	0.2041	2,128,336.639755
0.530652	0.2041	2,152,922.054251
0.534052	0.204	2,224,362.902615
0.537453	0.2041	2,208,513.964169
0.540855	0.2041	2,195,867.510872
0.544255	0.204	2,222,797.921989
0.547657	0.2041	2,231,430.028366
0.551058	0.2041	2,180,578.876640
